Period,Category,Actual,Budget,Prior_Year
Jan-2024,Revenue,4250,4100,3980
Feb-2024,Revenue,4380,4200,4050
Mar-2024,Revenue,4520,4500,4200
Apr-2024,Revenue,4600,4600,4300
May-2024,Revenue,4480,4700,4350
Jun-2024,Revenue,4350,4800,4400
Jul-2024,Revenue,4200,4600,4250
Aug-2024,Revenue,4380,4500,4300
Sep-2024,Revenue,4650,4700,4420
Oct-2024,Revenue,4800,4800,4500
Nov-2024,Revenue,4950,4900,4600
Dec-2024,Revenue,5100,5000,4750
Jan-2024,COGS,1900,1850,1790
Feb-2024,COGS,1960,1890,1820
Mar-2024,COGS,2030,2025,1890
Apr-2024,COGS,2070,2070,1940
May-2024,COGS,2016,2115,1960
Jun-2024,COGS,1958,2160,1980
Jul-2024,COGS,1890,2070,1913
Aug-2024,COGS,1971,2025,1935
Sep-2024,COGS,2093,2115,1989
Oct-2024,COGS,2160,2160,2025
Nov-2024,COGS,2228,2205,2070
Dec-2024,COGS,2295,2250,2138
Jan-2024,OPEX,850,820,800
Feb-2024,OPEX,876,840,810
Mar-2024,OPEX,904,900,840
Apr-2024,OPEX,920,920,860
May-2024,OPEX,896,940,870
Jun-2024,OPEX,870,960,880
Jul-2024,OPEX,840,920,850
Aug-2024,OPEX,862,905,860
Sep-2024,OPEX,895,940,875
Oct-2024,OPEX,920,960,890
Nov-2024,OPEX,945,980,900
Dec-2024,OPEX,975,1000,920
