Month,Opening_Balance,Operating_Inflows,Operating_Outflows,Investing_Inflows,Investing_Outflows,Financing_Inflows,Financing_Outflows
Jan-2024,500000,850000,620000,0,45000,0,80000
Feb-2024,605000,920000,680000,0,0,0,80000
Mar-2024,765000,1050000,710000,15000,0,200000,80000
Apr-2024,1160000,880000,650000,0,120000,0,80000
May-2024,1190000,960000,700000,0,0,0,80000
Jun-2024,1370000,1100000,760000,0,55000,0,80000
Jul-2024,1575000,820000,640000,0,0,0,80000
Aug-2024,1675000,900000,680000,25000,0,0,80000
Sep-2024,1840000,1080000,730000,0,90000,0,80000
Oct-2024,2020000,950000,700000,0,0,0,80000
Nov-2024,2190000,1020000,750000,0,0,100000,80000
Dec-2024,2480000,1200000,820000,0,200000,0,80000
