Period,SKU,Market,Revenue,COGS,OPEX
Jan-2024,SKU-A,UK,4200,1890,756
Jan-2024,SKU-B,UK,3100,1550,698
Jan-2024,SKU-C,DE,2800,1540,644
Jan-2024,SKU-D,FR,1900,1140,494
Feb-2024,SKU-A,UK,4350,1958,762
Feb-2024,SKU-B,UK,3200,1760,720
Feb-2024,SKU-C,DE,2900,1595,667
Feb-2024,SKU-D,FR,1950,1170,507
Mar-2024,SKU-A,UK,4500,2025,765
Mar-2024,SKU-B,UK,3300,1815,726
Mar-2024,SKU-C,DE,3000,1650,690
Mar-2024,SKU-D,FR,2000,1200,520
Apr-2024,SKU-A,UK,4600,2070,782
Apr-2024,SKU-B,UK,3350,1843,738
Apr-2024,SKU-C,DE,3050,1678,702
Apr-2024,SKU-D,FR,2050,1230,534
May-2024,SKU-A,UK,4480,2016,762
May-2024,SKU-B,UK,3280,1804,754
May-2024,SKU-C,DE,2980,1639,716
May-2024,SKU-D,FR,2020,1212,525
Jun-2024,SKU-A,UK,4350,1958,739
Jun-2024,SKU-B,UK,3180,1749,762
Jun-2024,SKU-C,DE,2900,1595,696
Jun-2024,SKU-D,FR,1980,1188,515
